economy,gdp_current_usd,gdp_per_capita,inflation_rate,unemployment_rate,trade_percent_gdp,exports_percent_gdp,imports_percent_gdp,gross_savings_percent_gdp,education_expenditure_percent_gdp,health_expenditure_percent_gdp,population,urban_population_percent,manufacturing_value_added_per_capita,manufacturing_percent_gdp,industry_value_added_percent_gdp,medical_doctors,life_expectancy,infant_mortality_rate,probability_of_dying,air_pollution
MDV,5741644143.649804,11020.387458228739,1.1667564060568325,4.7508,142.311285017224,70.34829812858945,71.96298688863435,11.2375838929606,5.075478076809165,9.68598342,519234.2,41.537,115135985.98161054,2.074889317540018,10.07693432667924,22.35,76.59470056,4.979369712,10.6,49.976
MEA,4539482307723.064,5782.080500146032,3.159391047679894,8.550383451402487,70.56822185175886,38.131128581373446,34.13371053481562,28.1120226950019,4.14270997047424,5.321825847584988,783450673.2,55.00255228762738,575043789146.9343,12.64250007429804,38.32604382714446,,,,,
MEX,1510124175608.3699,11708.3075403612,5.4465071163792675,3.4381999999999997,79.4463833682708,39.14060490607726,40.305778462193516,20.587833031039757,4.26792001724243,5.7411234375,128732217.0,81.2982,308502907339.6466,20.474971438481997,32.04472386668844,25.88,70.83258685,9.647736222,16.3,2445.348
MHL,258751568.84596044,6477.680524225628,,,113.6139624218065,40.405881358450046,73.20808106335639,13.3574538748771,12.23945289248816,12.8765082375,40105.0,78.5104,6605550.0,2.6174027488428324,10.88865303051243,4.67,,26.323792926,,
MIC,35274174286381.2,6028.058667425182,4.9718285369196655,5.712199442257402,48.21756771885116,23.97905216405936,23.372840479549758,32.9158974134001,3.6530070052328725,5.364940133310315,5846699323.4,53.60595688372074,7337448268242.666,20.82513418424502,33.29268039723384,,,,,
MKD,14548519614.199759,7964.1897816672545,6.297430657551408,14.6886,145.6519831459278,65.29923930158212,80.35274384434538,28.47624594579518,,7.735777735,1828989.0,59.1466,1950712789.417284,13.39938110485742,22.854190437870198,29.44,72.99535604,2.680571299,24.3,118.988
MLI,23456294169.48768,1014.4554493024349,3.850073755998585,3.1794000000000002,56.594976179158905,24.431838953990418,32.163137225168484,16.92737392558705,4.13698576242588,3.6111904975,23084565.6,45.429199999999994,1718664542.2919998,7.320895087881868,24.87579034716384,1.88,61.08022019,57.553430116,23.0,2176.948
MLT,20381075209.26878,37730.59429922028,3.0069911276148376,3.2950000000000004,236.5144191755916,126.219202175819,110.2952169997724,24.042228875633278,4.82531499862671,9.8912959075,538369.2,94.87519999999999,1281941447.28132,6.31794967721817,11.88391853093986,45.134,79.95901198,4.84091865,9.8,29.095
MMR,69688369269.48648,1296.6889012114038,,2.9874,,,,,,4.8769661175,53758860.0,31.788400000000003,16862067637.766058,24.20722487846314,37.70144739810106,7.57,67.84580637,37.727743803,24.0,2181.511
MNA,1978081579707.054,2755.583520469484,5.214579533723306,9.304356218098324,54.1666814466308,23.56846088154158,28.598003911870098,22.647959756199025,,4.962345066972745,716853569.4,51.90373548932986,252475697074.6855,13.03612780056345,32.92660686904864,,,,,
MNE,6492271090.589454,10398.629736562812,5.42339382325208,15.5986,109.7800323847799,43.03774300528742,66.74228937949256,13.517868830800044,,10.3066403875,624518.8,68.164,226126915.83145952,3.76170599936071,13.84437988271298,27.83,74.70975149,2.230984009,13.4,6.726
MNG,17931414415.37296,5208.499152956226,8.55793249455112,6.2958,130.004073140932,65.33318948279458,64.67088365813768,24.31381938149772,3.65764999389648,6.30583942,3430125.2,68.9448,1190998051.874874,6.7883446646032555,37.40815171365746,41.3,70.09795294,12.554116865,26.3,973.017
MNP,958666666.6666666,20487.36474233437,,,83.67493142767326,14.35362655166034,69.32130487601293,,,,46001.2,91.9836,,,,,,,,
MOZ,18531575111.606518,564.1729577058978,6.275471436693958,3.7232,109.71280080527158,42.19610230410798,67.51669850116363,9.33800803913562,6.16243494172603,8.2726986425,32682932.0,38.193599999999996,1429099551.864482,7.782834196241292,22.56444913227072,1.75,60.54787171,45.415409858,33.5,16.336
MRT,9691939327.04048,1981.502621745824,4.584163967436378,10.7096,92.14487815061187,39.821981568298554,52.32289658231323,33.0642545416056,2.4498749971389775,3.5893421775,4880495.6,56.908,617653810.5222197,6.385170378578939,31.20234918607528,2.61,69.36220641,31.021062326,16.1,381.372
MUS,12970794848.25868,10271.54487328574,5.6081170601437815,6.7428,99.43688808993849,43.68985893619916,55.74702915373943,15.651998165932202,4.504449939727782,6.0577607175,1263084.2,40.8312,1476900084.954756,11.38689622837064,17.7208728849988,14.36,70.13596527,11.943652834,27.0,2.458
MWI,12059515780.83526,586.9879287008071,19.975804356411807,5.301,,,,,2.74888371105811,6.9196010800000005,20581928.4,17.996000000000002,1357798021.39313,11.042618717109985,17.137877659191698,0.54,62.48652597,29.361879146,27.4,4.269
MYS,388104813734.0072,11171.014735252867,1.8080129383959602,4.161,133.35204877873,69.79953977592596,63.552509002804186,24.8368725134499,3.79674797926236,4.0505493275,34710284.2,78.19739999999999,88876037764.55692,22.88800532028738,37.49131796509492,23.41,75.31574097,6.0931083,19.9,1390.263
NAC,27654089336718.46,73804.47868043419,3.8175686070757058,5.174902279372998,28.38304942748818,12.465370887175,15.48263837066836,18.55114944727658,5.035448312759397,16.957977373216075,374302330.4,82.95028260304409,2797709852498.5576,10.113215664691257,18.180828112190238,,,,,
NAM,12267261912.98904,4248.391385910092,4.405308534632018,20.0268,96.02626480631302,38.2726776218952,57.753587184417825,9.16103363178755,9.536450451923937,8.9800741675,2884439.6,53.935,1340056664.767126,10.93044819379584,27.285808101498098,5.53,60.35994599,42.1214128,23.1,91.891
NCL,9716432616.692358,34032.7493462294,,11.5794,,,,,,,287804.4,72.31859999999999,,,,,,,,
NER,16065986902.94132,631.8129628126566,4.746954569868036,0.5144,44.75578832767998,20.19907956022444,24.55670876745552,19.013325816937325,3.8568179014639425,5.500905395,25344801.0,16.9114,1078191668.4037168,7.34110064849181,19.1564458760108,0.38,60.93901222,72.121330645,18.7,10826.866
NGA,380408394075.443,1715.9778738385007,21.38954075836048,4.2152,,,,,0.35228562481638126,3.6783165325000002,223247757.2,53.507600000000004,53063460390.87866,13.94881942869012,30.52725117869104,3.8,62.06702482,60.097513718,16.9,3050.57
NIC,16013968109.60642,2371.341611201686,6.418009758328251,5.314,102.76582559536413,44.87171052083686,57.8941150745272,23.90266347043402,3.833330029161573,8.9091200825,6736083.0,59.5698,2266102799.670124,14.176634518852278,26.75560587644862,6.82,72.2627673,9.129068459,13.3,562.945
NLD,1083095802682.776,61104.79328936718,4.227064985384082,3.7382,164.3149365637412,87.36136433321289,76.95357223052822,29.35682018590336,5.282399972279866,10.6473860725,17709376.0,92.8652,114565731804.7753,10.574476923114881,18.07075697600684,38.76,79.58002654,3.466365406,8.8,406.236
NOR,486795237189.1288,88997.89696302052,3.8395479707253677,3.9112,76.15443282393383,45.2432175516992,30.911215272234642,40.66159495662864,6.929633299509683,9.90613413,5467357.6,83.6548,28149683396.095722,5.864601326360452,38.00518591797806,49.75,82.88199872,1.934893134,6.6,117.287
NPL,39100696182.78766,1324.503441625774,5.991899467965513,11.4678,43.00921067334106,6.650945311542278,36.35826536179876,56.09131643169712,4.090584218118581,5.40814209,29500537.6,21.4608,1796646868.314066,4.595832817244912,11.88335944427464,10.11,70.04936795,23.296469589,19.6,6643.368
NRU,152808287.5909752,12951.56359900112,,,143.0982700944802,42.243398139551616,100.85487195492846,,5.664772145958482,13.32224512,11795.0,100.0,,,,12.73,,9.078474806,,
NZL,246389676628.242,47540.474913782964,4.296773544278652,4.0531999999999995,49.100271123990176,22.9423583327444,26.157912791245774,18.30186867342555,5.42524015903473,9.9044735425,5180420.0,86.8896,21423174169.9673,8.991893410197564,19.4699597772328,36.11,80.36105381,3.984233877,10.3,48.568
OED,61085564252025.04,44205.6444669844,4.0459489804911115,5.612329266735032,57.286439043823385,28.20602117306272,28.33686630542602,22.41034862626168,5.136398315429687,13.17816110953845,1381124791.4,81.46977361436842,7838541342305.526,12.847688319764462,21.58422517748386,,,,,
OMN,97184915474.64243,20126.56118414898,1.065264735889756,2.8954,99.87177390395217,56.1948196779459,43.67695422600615,23.4212591863552,5.589464902877805,4.0530542125,4816790.8,87.6936,9368426527.95837,9.551548994017738,53.60874261725856,19.92,72.47676726,8.365620401,13.3,1814.816
OSS,179809735884.006,14143.530333089639,3.449350440474544,8.998797757911044,146.1644991203848,75.1886704797749,74.41921448771626,23.084578936043222,5.109079588963217,7.604769635623745,12693920.6,55.6061108469184,15934470751.859879,8.892348493266581,21.4688779714755,,,,,
PAK,346957988087.8828,1424.391704369086,16.502144716728445,5.766,28.57174370094412,9.954853926184425,18.61688977475966,13.09230290417444,1.9160583023174524,2.92364961,243390774.6,37.7482,44466027089.4671,12.76368857425326,19.71901145821906,11.6,65.99092295,45.11100255,26.0,56319.673
PAN,74062186520.0,16784.4122219606,1.0239436714206724,9.1976,83.01353354313595,43.11540635207987,39.8981271910561,30.851572674372022,3.466730058193205,8.9882607475,4402755.0,69.146,3804797560.0,5.177403026867053,26.070943966621677,16.25,74.35268157,10.610427661,9.4,252.924
PER,245996944284.3128,7330.014390585566,4.6142206103492445,5.1706,51.846252920583744,27.35041204284986,24.49584087773388,20.01905372957256,4.06372994184494,6.0682995325,33506672.8,78.7132,30352153124.801125,12.32735942816788,33.4395626055811,16.88,74.80744833,12.139296463,12.8,1181.425
PHL,411773002386.2234,3609.7897253955816,4.26642615035656,2.5786000000000002,65.47785911455051,26.350513254812803,39.12734585973776,24.81506345558686,3.771817235549446,5.113333036,113976284.2,47.994,69273524675.44405,16.88702451022098,28.480513867263063,7.92,69.88256359,19.623407794,38.7,29863.39
PLW,258045975.0,14526.354823710724,6.047006012925907,,91.90298516989486,14.587736375008802,77.31524879488613,-2.3447684086206,3.6293777314127476,13.5992963325,17751.2,81.9348,2734450.0,1.0578756789263726,11.52042536671477,18.08,,19.11496778,,
