economy,inflation_rate,unemployment_rate,exports_percent_gdp,imports_percent_gdp,gross_savings_percent_gdp,education_expenditure_percent_gdp,health_expenditure_percent_gdp,urban_population_percent,manufacturing_percent_gdp,industry_value_added_percent_gdp,medical_doctors,life_expectancy,infant_mortality_rate,probability_of_dying,log_gdp_per_capita,log_manufacturing_value_added_per_capita,log_air_pollution
DOM,5.784594714298544,6.072,21.28858751803308,29.24911434595606,24.50007912205192,3.867416920541933,4.6674458975,83.8116,12.99776742962428,29.71037826266566,24.26,73.32102758,25.865177442,14.4,9.154354754078216,23.346433754073168,6.993123473353016
DZA,6.454999568584403,12.6322,23.35202083002175,22.176005609606374,39.07306854061017,5.5168384924841956,4.922432005,74.75640000000001,8.495537252583263,36.7875421595472,16.6,75.50643476,21.451445636,13.8,8.470766425201056,23.609125520682486,6.56541847937896
EAP,3.8286328801784544,4.1129420541548685,23.23361597224592,20.91262967952502,41.48781250356568,2.8503073128230927,5.20858996927524,59.1943490564938,25.13040954851226,37.13850868126724,20.218,71.747738091,19.062732959000005,19.56,9.190147248841297,29.28946764551767,11.374159005837168
EAR,4.69998769407915,6.094012624525786,25.47455689327268,26.79226886424488,25.85743195960986,3.7075310581630743,4.862544849691602,46.63913579694816,17.014508587444077,32.47401171621504,19.837999999999997,71.937794859,20.963403331300004,19.099999999999998,8.291955554926693,28.489266774452616,11.38046968452461
EAS,3.248191779842226,4.014906393512041,29.39673433646022,26.81359808490718,36.85557346400095,3.172650290374155,6.759257998072265,62.212104383583565,23.07301593943552,34.362397099977024,20.218,71.747738091,19.062732959000005,19.56,9.463964016382759,29.587810342358754,11.374159005837168
ECA,7.222939003436144,8.077542683989787,35.6075586863233,38.05693043539392,26.02687739805354,3.974659979343413,5.242149734319982,64.16268571827608,17.6713964255752,29.14929686815942,22.607,71.782052087,19.9304509404,16.59,8.93193121822774,26.465280817297923,8.361641206886663
ECS,5.07343386108451,6.167690704670386,45.70795653232908,42.43151758287704,24.77120387184636,4.711569945017497,10.007993658533548,73.04487336438532,13.82340630289426,23.35949176928286,20.218,71.747738091,19.062732959000005,19.56,10.245153788522892,28.911062223378327,11.374159005837168
ECU,1.4047123028378536,4.5446,28.023862741416583,26.642591755629923,22.79646376525568,3.85035753250122,8.05158496,64.5836,13.00245643515844,27.000459339931684,23.13,70.95068197,12.57945498,14.7,8.75331163282856,23.410837145724784,7.613267693949234
EGY,17.262001903237298,7.4582,14.72065706479602,21.0828402920464,13.96264844712808,3.2272224257934985,4.516812085,42.994,15.35872870862996,32.313093153551776,6.71,66.6899896,17.233577469,30.8,8.20914726668974,24.87734906231648,10.355287941034863
EMU,3.822781719201656,7.0545856709529655,49.42067618919748,45.89127029633598,24.64391382040682,5.110458294550576,10.864457017796724,77.7160089926699,14.419163883957442,22.01813294385538,20.218,71.747738091,19.062732959000005,19.56,10.666376620182222,28.399126902185348,11.374159005837168
ERI,5.699125127076007,5.8198,48.83615667195391,53.090547131228206,22.242217511702982,4.565075823830802,4.25284952,42.626999999999995,14.19090226920174,26.419832937797445,0.88,63.57308435,29.037888055,27.3,9.520969582545897,22.917793640200472,5.152967842673847
ESP,3.493499608784563,13.3606,35.86905611466206,33.54995356064316,22.844016592640138,4.749953269958497,9.9784724725,81.3048,10.93808032220314,20.19713098552168,42.94,79.98630023,2.336939235,12.4,10.35529354994264,25.828287796151162,6.763300442183223
EST,7.257336932332436,6.5822,77.69887552242652,78.13924800469228,25.53686067076204,5.288096586863204,7.2154177425,69.6164,12.20198795867858,21.99779214233328,34.69,77.13131363,1.436677164,9.3,10.251657564809287,22.261350306724015,3.2887749522478678
ETH,26.4684645186134,3.6276,7.03066821328793,15.54126424399086,24.5801087559723,3.4234722041081893,3.1960296,22.6696,4.60701502907521,23.51569100903268,1.43,69.74860163,41.032350693,17.2,6.8495378470969275,22.410299003612803,7.421446792161173
EUU,4.119888323036855,6.431023469440584,50.660421290212824,47.16847014259806,24.88438141520818,4.793059905370073,10.509354685972673,75.4622778291178,14.56718610965228,22.539840149889866,20.218,71.747738091,19.062732959000005,19.56,10.578561541758365,28.571909389600354,11.374159005837168
FCS,5.1696953168799835,5.852145999932534,27.24164775340724,28.6199849109989,24.097008356163638,2.9520866260833034,4.75180590886415,44.41452734342634,13.442925498811348,28.871649694129655,22.502000000000002,72.05208647200001,19.809153870400003,16.339999999999996,7.45463034787509,26.235347085429016,8.157311540054028
FIN,3.4849937791862344,7.5012,41.41367903340914,41.56060171988456,24.01671592967626,6.54850673675537,9.5743570325,85.6878,14.7090216731803,23.85059846221856,36.09,79.00774147,1.667363161,9.6,10.852762321055863,24.46829268306777,6.260208418539512
FJI,1.7480724197375666,4.485,40.055858277412455,59.38277231410333,3.2586840458562585,4.710768674990505,4.844280482,58.2242,10.160605496297396,15.58025150561738,8.13,67.67014085,26.129946352,35.1,8.598874840285589,20.0345586256388,5.4911460298598875
FRA,2.843720886961065,7.5792,32.77461129411406,34.4653972090984,21.87979764248808,5.466836611429851,11.8364627375,81.5094,9.410059932769157,16.91533536174644,32.81,79.07623773,3.411659765,10.2,10.668137361153963,26.341342926981323,7.561478965830213
FRO,11.628962725901825,9.739930000000001,54.9578819879822,54.93477692970252,16.452029138851948,3.728189767302807,5.973535577449999,42.7906,7.079037671157713,19.532617448832024,12.883999999999997,67.76977864900002,29.177313519999995,20.970000000000002,11.115830068546128,19.35939021331107,7.425318970894482
FSM,3.0515408172061727,8.74203,22.964521815721717,68.07143074428787,17.166392534411806,11.5591397849462,11.4165949825,23.2304,0.504996577796547,4.981280117030858,9.74,62.98522647,23.415429835,46.2,8.226453287226196,14.53441125157527,1.4369874754354088
