economy,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
HKG,-1.9201957291194518,4.014241318378468,4.39053829865644,-1.412181372279816,1.8176585300945038,3.7896416614845445,-1.2059760138905915,1.147184403403789,-1.370317412938523,1.6801660125072024
HND,0.42192887219270103,0.1849220647967027,-0.1531188252385952,-0.5931291735565184,0.429068975396499,-0.06261847716771705,0.5363146993030601,-0.3091980436616138,-0.7578102731296465,0.18986988289157006
HPC,0.8620564778406669,-1.4481453519111995,-0.464544301400127,0.4165294675568377,-0.8264046761868407,0.5227420246894845,0.1784480521101007,-0.8870046485445131,0.12355766320489094,0.4837475267914852
HRV,-1.7396238736222296,0.7008127775410374,-0.026917342825529433,0.5129720643143109,-0.6388847149759836,-0.003939352747714713,0.41335242211139805,-0.5263489244620561,0.5213901111032304,0.22423694252726417
HTI,3.492034893762179,-1.182309105782357,0.5390087728490244,0.9569818121418437,1.8244265441674627,-0.7038998617838683,-0.12640988810294615,-0.47910644244438894,1.1359541257371677,-0.9275034197472871
HUN,-2.336839581452818,0.3151925597431118,1.1838115482254072,0.02032228749399228,0.08419593737256753,0.7105322757253546,0.69032120639948,0.044736929994026516,0.09833344636873513,0.2502070566182669
IBD,-0.5696659814570975,-3.1824104477284503,-0.4074872236340005,-0.8273710982909016,0.4832850821476899,0.24799668979006134,-0.06580768350683766,0.18275528654691844,0.3356225079652346,0.5244114821306045
IBT,-0.4020542631275007,-3.2240093092408704,-0.3874734401718538,-0.7404366074035167,0.3703623702972427,0.3347582512662592,-0.007296820747687809,0.02611477957007076,0.35141502673776387,0.6314616317678283
IDA,0.7384747113510651,-2.2105191555009225,-0.3789162643938542,0.24261062642159884,-0.5179528925486271,0.5418207105076861,-0.01932250992681172,-0.7876533441465939,0.039669745930556666,0.7052782543792185
IDB,0.6178042362528845,-1.8381579485045783,0.02763251317767885,0.16234070643771703,-0.7166207115710925,0.4032512207790524,-0.1847882808536867,-0.4305771230977107,0.14977325944762881,0.6436079103743877
IDN,0.6740671977286884,-3.474466923130512,0.8257355566222557,-0.1709690265989108,-0.20245225691001106,0.3178967151949616,-0.8396080037867679,0.41108820887832453,0.7106397920603532,-0.21379455639327594
IDX,0.7073266239081467,-2.164941822209727,-0.052505728199559364,0.16211760837419578,-0.7564828224603157,0.24697799411650573,0.24327048069400897,-0.6774317075346658,0.12307243125453514,0.7252913118770641
IMN,0.4143768265751049,1.7291667807361486,-0.38559585165650717,0.6368071248052779,-0.13693964913952442,0.8039185507587816,-1.6330972893982088,0.1885896299528248,0.7028107608504508,0.3290069487668924
IND,1.477559945332701,-2.456746462589071,-0.38161508269714256,-0.8009675866355707,-0.27680860186986594,0.6038588937715015,-0.42268488315239716,0.22762558782376477,0.3575537117355108,1.3147307796229193
INX,-0.6209783651989242,-0.7927035772521853,-0.3501318853334539,-0.26513466720866313,0.5189122300898343,0.4474446443501075,-0.231581551858033,0.07280194703809337,0.02893675610341801,0.37738623872873783
IRL,-4.285021848610513,-0.4346789729990046,3.791078319140839,-0.27689711191157274,0.7980841066450484,0.3770090998427215,1.9790831511092575,-0.5362046835078949,-0.06290801678167272,0.012650529185215755
IRN,-0.6573594737831672,-2.1909328859048713,-0.3375703728111804,1.4143133832154196,0.9435753455123183,-0.6762821261278509,0.20698010854199875,0.18384892897626595,-0.3970472174716507,-0.03491564069404612
IRQ,0.352665565498569,-0.9278006732848342,1.2655618680559022,-0.6742949507612861,-0.4342392856946315,-2.9022521432900286,-1.3446071553904875,0.9623932162607406,0.3341996082209718,-0.045028371427979635
